program_id,project_id,major_id,project_name_th,round_type,year,receive_student_number,min_gpax,min_total_score,only_formal,only_international,only_vocational,link
10010121300001A,68e365a0f6124a010031319a,,,admission,2026,305,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2101,,โครงการโอลิมปิกวิชาการและโครงการพัฒนาอัจฉริยภาพทางวิทยาศาสตร์และเทคโนโลยีสำหรับเด็กและเยาวชน,portfolio,2026,100,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,225,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2188,,โครงการจัดส่งนักศึกษาจังหวัดชายแดนภาคใต้เข้าศึกษาต่อในจุฬาลงกรณ์มหาวิทยาลัย (มหาดไทย),quota,2026,4,2,,1,2,2,https://multi.dopa.go.th/gacd/news/cate1/view61
10010121300001A,P2191,,โครงการจุฬาฯ-ชนบท,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2194,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,quota,2026,3,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2196,,โครงการรับนักเรียนผู้มีความสามารถทางด้านกีฬา,portfolio,2026,2,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300001A,P2199,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,25,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300501A,68e365a0f6124a01003131ac,,,admission,2026,75,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121300501A,P2102,,โครงการโอลิมปิกวิชาการเข้าศึกษาในสาขาวิชาวิศวกรรมคอมพิวเตอร์,portfolio,2026,65,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300501A,P2199,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,5,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300599A,68e365a0f6124a01003131b0,,,admission,2026,90,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121300599A,P2105,,โครงการรับนักเรียนผู้มีความสามารถทางวิชาการเข้าศึกษาในหลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล (หลักสูตร Sandbox),portfolio,2026,220,3,0,1,2,1,https://admission.chula.ac.th/admission_c1.php
10010121300599A,P2199,,โครงการรับนักเรียนจากโรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย ฝ่ายมัธยม,quota,2026,10,,,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121300601A,68e365a0f6124a01003131a2,,,admission,2026,5,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121300601E,68e365a0f6124a010031314c,,,portfolio,2026,40,,,1,1,1,https://chem.eng.chula.ac.th/
10010121300601E,68e365a0f6124a0100313180,,,quota,2026,28,,,1,1,1,https://chem.eng.chula.ac.th/
10010121301101A,68e365a0f6124a01003131ae,,,admission,2026,15,2,48,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121301101A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,2,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121301101A,P2107,,โครงการโอลิมปิกวิชาการเข้าศึกษาในสาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,portfolio,2026,3,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121301601A,68e365a0f6124a010031319e,,,admission,2026,15,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121301601A,P2103,,โครงการรับนักเรียนผู้มีความสามารถทางวิชาการเข้าศึกษาในหลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมไฟฟ้า,portfolio,2026,10,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121301801E,68e365a0f6124a0100313182,,,quota,2026,25,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121301801E,P2108,,รูปแบบที่ 1,portfolio,2026,95,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121301801E,P2109,,รูปแบบที่ 2,portfolio,2026,7,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302001A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,5,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
10010121302002E,68e365a0f6124a0100313184,,,quota,2026,18,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302002E,P2108,,รูปแบบที่ 1,portfolio,2026,56,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302002E,P2109,,รูปแบบที่ 2,portfolio,2026,5,,,1,1,1,https://admission.chula.ac.th/admission_c2.php
10010121302101A,68e365a0f6124a010031319c,,,admission,2026,25,2,51,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121302501A,68e365a0f6124a01003131aa,,,admission,2026,30,2,48,1,1,1,https://admission.chula.ac.th/admission_c1.php
10010121302501A,P2104,,โครงการรับนักเรียนที่มีความรู้ทางด้านคณิตศาสตร์และวิทยาศาสตร์,portfolio,2026,5,3,0,1,2,2,https://admission.chula.ac.th/admission_c1.php
