university_slug,university_id,faculty_id,faculty_name_th,faculty_name_en
chulalongkorn,001,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering
chulalongkorn,001,22,คณะอักษรศาสตร์,Faculty of Arts
chulalongkorn,001,23,คณะวิทยาศาสตร์,Faculty of Science
chulalongkorn,001,24,คณะรัฐศาสตร์,Faculty of Political Science
chulalongkorn,001,25,คณะสถาปัตยกรรมศาสตร์,Faculty of Architecture
chulalongkorn,001,26,คณะพาณิชยศาสตร์และการบัญชี,Faculty of Commerce and Accountancy
chulalongkorn,001,27,คณะครุศาสตร์,Faculty of Education
chulalongkorn,001,28,คณะนิเทศศาสตร์,Faculty of Communication Arts
chulalongkorn,001,29,คณะเศรษฐศาสตร์,Faculty of Economics
chulalongkorn,001,30,คณะแพทยศาสตร์,Faculty of Medicine
chulalongkorn,001,31,คณะสัตวแพทยศาสตร์,Faculty of Veterinary Science
chulalongkorn,001,32,คณะทันตแพทยศาสตร์,Faculty of Dentistry
chulalongkorn,001,33,คณะเภสัชศาสตร์,Faculty of Pharmaceutical Sciences
chulalongkorn,001,34,คณะนิติศาสตร์,Faculty of Law
chulalongkorn,001,35,คณะศิลปกรรมศาสตร์,Faculty of Fine and Applied Arts
chulalongkorn,001,37,คณะสหเวชศาสตร์,Faculty of Allied Health Sciences
chulalongkorn,001,38,คณะจิตวิทยา,Faculty of Psychology
chulalongkorn,001,39,คณะวิทยาศาสตร์การกีฬา,Faculty of Sports Science
chulalongkorn,001,40,สำนักวิชาทรัพยากรการเกษตร,School of Agricultural Resources
chulalongkorn,001,56,สถาบันนวัตกรรมบูรณาการแห่งจุฬาลงกรณ์มหาวิทยาลัย,School of Integrated Innovation
kasetsart,002,01,คณะเกษตร,Agriculture
kasetsart,002,02,คณะประมง,Fisheries
kasetsart,002,03,คณะวนศาสตร์,Forestry
kasetsart,002,04,คณะวิทยาศาสตร์,Science
kasetsart,002,05,คณะวิศวกรรมศาสตร์,Engineering
kasetsart,002,06,คณะศึกษาศาสตร์,Education
kasetsart,002,07,คณะเศรษฐศาสตร์,Economics
kasetsart,002,08,คณะสังคมศาสตร์,Social Sciences
kasetsart,002,09,คณะสัตวแพทยศาสตร์,Veterinary Medicine
kasetsart,002,10,คณะอุตสาหกรรมเกษตร,Agro-Industry
