program_id,tcas_year,year_ce,seats,applicants,accepted,min_score,max_score
10010121300001A,63,2020,55,266,55,21197.5,23542.5
10010121300001A,64,2021,33,1070,36,21761.2,24932.34
10010121300001A,65,2022,465,710,455,51.0196,85.4686
10010121300001A,66,2023,360,2424,360,54.15,80.8274
10010121300001A,67,2024,380,1119,381,53.6832,83.5332
10010121300001A,68,2025,390,1417,390,59.883,82.6
10010121300501A,64,2021,50,555,52,77.2587,95.5
10010121300501A,65,2022,50,306,50,69.6333,80.0961
10010121300501A,66,2023,65,1422,65,71.4166,86.561
10010121300501A,67,2024,65,579,65,72.2942,90.4218
10010121300501A,68,2025,80,460,80,74.7276,89.0164
10010121300599A,66,2023,185,2305,185,61.1666,84.9052
10010121300599A,67,2024,140,591,140,58.0222,78.8053
10010121300599A,68,2025,105,735,105,66.8886,85.7888
10010121301101A,63,2020,15,60,15,19846.75,20993.75
10010121301101A,64,2021,5,104,5,20515.75,21090.15
10010121301101A,65,2022,25,97,17,45.3804,62.6137
10010121301101A,66,2023,25,233,25,47.0276,59.9109
10010121301101A,67,2024,25,167,25,49.1275,53.4721
10010121301101A,68,2025,20,194,20,53.9274,62.883
10010121302101A,64,2021,10,179,10,68.3333,78.7
10010121302101A,65,2022,10,67,10,61.2921,74.1294
10010121302101A,66,2023,10,357,10,61.2109,68.833
10010121302101A,67,2024,10,118,10,58.5664,64.3274
10010121302101A,68,2025,10,176,10,66.022,77.5553
10010121302501A,64,2021,10,178,26,17500,21718.25
10010121302501A,65,2022,55,144,26,45.2471,53.8137
10010121302501A,66,2023,55,283,55,45.4942,58.3222
10010121302501A,67,2024,35,101,10,51.1498,53.6222
10010121302501A,68,2025,20,174,20,54.5,59.0666
10010121302701A,63,2020,25,76,25,18566.5,21161.75
10010121302701A,64,2021,20,172,46,17387.15,19854.5
10010121302701A,65,2022,40,86,12,45.0961,51.8137
10010121302701A,66,2023,40,306,40,50.0052,60.9332
10010121302701A,67,2024,40,238,40,50.9554,57.0996
10010121302701A,68,2025,40,259,40,55.1276,62.1386
10010121302801A,64,2021,30,197,30,51.2333,65.2753
10010121302801A,65,2022,30,171,30,45,54.4
10010121302801A,66,2023,30,344,30,49.2943,68.022
10010121302801A,67,2024,25,170,25,51.4386,69.6887
10010121302801A,68,2025,20,227,20,57.5165,59.8222
10010121303001A,63,2020,15,26,15,16351.5,20755.25
10010121303001A,64,2021,5,247,30,17518.75,19519.95
10010121303001A,65,2022,35,60,5,48.0294,49.0725
10010121303001A,66,2023,30,154,30,41.1552,54.522
10010121303001A,67,2024,25,33,3,51.4831,53.372
10010121303001A,68,2025,15,54,15,51.7444,59.5944
10010121303501A,64,2021,5,100,5,78.0333,84.5667
10010121303501A,65,2022,5,74,5,68.592,77.3583
10010121303501A,66,2023,5,142,5,71.2221,76.2444
10010121303501A,67,2024,5,92,5,68.6332,78.5108
10010121303501A,68,2025,5,125,5,74.5776,81.1164
10010122904301A,63,2020,10,149,10,21403.2,23586
10010122904301A,64,2021,10,99,10,20434.5,22265.04
10010122904301A,65,2022,240,1284,51,64.8125,77.375
10010122904301A,66,2023,233,1149,45,71.375,82.375
10010122904301A,67,2024,211,985,30,70.875,81.75
10010122904301A,68,2025,10,498,10,73.0625,75.75
10010123210301A,63,2020,18,98,18,17287.5,20391
10010123210301A,64,2021,35,206,40,16890.8,21138.7
10010123210301A,65,2022,44,318,44,41.4667,75.8804
10010123210301A,66,2023,29,635,29,63.8716,79.7054
10010123210301A,67,2024,25,353,25,57.4496,71.9332
10010123210301A,68,2025,34,265,34,55.4388,75.061
10010123210401A,63,2020,61,159,61,16417,20080.3
10010123210401A,64,2021,94,845,113,17408.9,21564.8
10010123210401A,65,2022,126,806,126,42.0471,56.5353
10010123210401A,66,2023,98,1318,98,58.4216,77.2166
10010123210401A,67,2024,70,667,70,51.9496,63.0276
10010123210401A,68,2025,105,335,105,40.1,74.0374
