program_id,project_id,major_id,year,subject,weight_percent
10010121300001A,68e365a0f6124a010031319a,,2026,A_LV_61,20
10010121300001A,68e365a0f6124a010031319a,,2026,A_LV_64,20
10010121300001A,68e365a0f6124a010031319a,,2026,A_LV_65,10
10010121300001A,68e365a0f6124a010031319a,,2026,TGAT,20
10010121300001A,68e365a0f6124a010031319a,,2026,TPAT3,30
10010121300501A,68e365a0f6124a01003131ac,,2026,A_LV_61,20
10010121300501A,68e365a0f6124a01003131ac,,2026,A_LV_64,20
10010121300501A,68e365a0f6124a01003131ac,,2026,TGAT,20
10010121300501A,68e365a0f6124a01003131ac,,2026,TPAT3,40
10010121300599A,68e365a0f6124a01003131b0,,2026,A_LV_61,50
10010121300599A,68e365a0f6124a01003131b0,,2026,TGAT,20
10010121300599A,68e365a0f6124a01003131b0,,2026,TPAT3,30
10010121300601A,68e365a0f6124a01003131a2,,2026,A_LV_61,20
10010121300601A,68e365a0f6124a01003131a2,,2026,A_LV_64,20
10010121300601A,68e365a0f6124a01003131a2,,2026,A_LV_65,10
10010121300601A,68e365a0f6124a01003131a2,,2026,TGAT,20
10010121300601A,68e365a0f6124a01003131a2,,2026,TPAT3,30
10010121301101A,68e365a0f6124a01003131ae,,2026,A_LV_61,20
10010121301101A,68e365a0f6124a01003131ae,,2026,A_LV_64,20
10010121301101A,68e365a0f6124a01003131ae,,2026,A_LV_65,10
10010121301101A,68e365a0f6124a01003131ae,,2026,TGAT,20
10010121301101A,68e365a0f6124a01003131ae,,2026,TPAT3,30
10010121301601A,68e365a0f6124a010031319e,,2026,A_LV_61,20
10010121301601A,68e365a0f6124a010031319e,,2026,A_LV_64,20
10010121301601A,68e365a0f6124a010031319e,,2026,A_LV_65,10
10010121301601A,68e365a0f6124a010031319e,,2026,TGAT,20
10010121301601A,68e365a0f6124a010031319e,,2026,TPAT3,30
10010121302101A,68e365a0f6124a010031319c,,2026,A_LV_61,20
10010121302101A,68e365a0f6124a010031319c,,2026,A_LV_64,20
10010121302101A,68e365a0f6124a010031319c,,2026,A_LV_65,10
10010121302101A,68e365a0f6124a010031319c,,2026,TGAT,20
10010121302101A,68e365a0f6124a010031319c,,2026,TPAT3,30
10010121302501A,68e365a0f6124a01003131aa,,2026,A_LV_61,20
10010121302501A,68e365a0f6124a01003131aa,,2026,A_LV_64,20
10010121302501A,68e365a0f6124a01003131aa,,2026,A_LV_65,10
10010121302501A,68e365a0f6124a01003131aa,,2026,TGAT,20
10010121302501A,68e365a0f6124a01003131aa,,2026,TPAT3,30
10010121302701A,68e365a0f6124a01003131a8,,2026,A_LV_61,20
10010121302701A,68e365a0f6124a01003131a8,,2026,A_LV_64,20
10010121302701A,68e365a0f6124a01003131a8,,2026,TGAT,20
10010121302701A,68e365a0f6124a01003131a8,,2026,TPAT3,40
10010121302801A,68e365a0f6124a01003131a6,,2026,A_LV_61,20
10010121302801A,68e365a0f6124a01003131a6,,2026,A_LV_64,20
10010121302801A,68e365a0f6124a01003131a6,,2026,A_LV_65,10
10010121302801A,68e365a0f6124a01003131a6,,2026,TGAT,20
10010121302801A,68e365a0f6124a01003131a6,,2026,TPAT3,30
10010121303001A,68e365a0f6124a01003131a4,,2026,A_LV_61,20
10010121303001A,68e365a0f6124a01003131a4,,2026,A_LV_64,20
10010121303001A,68e365a0f6124a01003131a4,,2026,A_LV_65,10
10010121303001A,68e365a0f6124a01003131a4,,2026,TGAT,20
10010121303001A,68e365a0f6124a01003131a4,,2026,TPAT3,30
10010121303501A,68e365a0f6124a01003131a0,,2026,A_LV_61,20
10010121303501A,68e365a0f6124a01003131a0,,2026,A_LV_64,20
10010121303501A,68e365a0f6124a01003131a0,,2026,A_LV_65,10
10010121303501A,68e365a0f6124a01003131a0,,2026,TGAT,20
10010121303501A,68e365a0f6124a01003131a0,,2026,TPAT3,30
10010122904301A,P2206,D,2026,A_LV_62,25
10010122904301A,P2206,D,2026,A_LV_70,25
10010122904301A,P2206,D,2026,A_LV_81,25
10010122904301A,P2206,D,2026,A_LV_82,25
10010122904301A,P2207,E,2026,A_LV_62,25
10010122904301A,P2207,E,2026,A_LV_70,25
10010122904301A,P2207,E,2026,A_LV_81,25
10010122904301A,P2207,E,2026,A_LV_82,25
10010122904301A,P2208,,2026,A_LV_62,25
10010122904301A,P2208,,2026,A_LV_70,25
10010122904301A,P2208,,2026,A_LV_81,25
10010122904301A,P2208,,2026,A_LV_82,25
10010122904301A,P2209,,2026,A_LV_70,25
10010122904301A,P2209,,2026,A_LV_81,25
10010122904301A,P2209,,2026,A_LV_82,25
10010122904301A,P2209,,2026,A_LV_83,25
10010122904301A,P2210,,2026,A_LV_70,25
10010122904301A,P2210,,2026,A_LV_81,25
10010122904301A,P2210,,2026,A_LV_82,25
10010122904301A,P2210,,2026,A_LV_84,25
10010122904301A,P2211,,2026,A_LV_70,25
10010122904301A,P2211,,2026,A_LV_81,25
10010122904301A,P2211,,2026,A_LV_82,25
10010122904301A,P2211,,2026,A_LV_85,25
10010122904301A,P2212,,2026,A_LV_70,25
10010122904301A,P2212,,2026,A_LV_81,25
10010122904301A,P2212,,2026,A_LV_82,25
10010122904301A,P2212,,2026,A_LV_86,25
10010122904301A,P2213,,2026,A_LV_70,25
10010122904301A,P2213,,2026,A_LV_81,25
10010122904301A,P2213,,2026,A_LV_82,25
10010122904301A,P2213,,2026,A_LV_87,25
10010122904301A,P2214,,2026,A_LV_70,25
10010122904301A,P2214,,2026,A_LV_81,25
10010122904301A,P2214,,2026,A_LV_82,25
10010122904301A,P2214,,2026,A_LV_88,25
10010122904301A,P2215,,2026,A_LV_70,25
10010122904301A,P2215,,2026,A_LV_81,25
10010122904301A,P2215,,2026,A_LV_82,25
10010122904301A,P2215,,2026,A_LV_89,25
10010123210301A,68e365a1f6124a0100313296,,2026,A_LV_61,20
10010123210301A,68e365a1f6124a0100313296,,2026,TGAT,20
